RowNames	Chr	GenomeStart	GenomeEnd	GenomeMid	FeatureStart	FeatureEnd	Strand	Description	EnsemblGeneID
1500	1	11119325	11119452	11119389	11119452	11119325	-1	Small nucleolar RNA SNORA40 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077318
41	1	11399783	11936272	11668027	11399783	11936272	1	RIKEN cDNA A830018L16 gene [Source:MarkerSymbol;Acc:MGI:2444149]	ENSMUSG00000057715
42	1	11609681	11609848	11609765	11609848	11609681	-1		ENSMUSG00000067842
1366	1	12106186	12107049	12106618	12106186	12107049	1	similar to adenine nucleotide translocase (LOC665262), misc RNA [Source:RefSeq_dna;Acc:XR_031159]	ENSMUSG00000058598
1604	1	12360150	12360256	12360203	12360150	12360256	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064969
43	1	12677656	12845591	12761624	12677656	12845591	1	sulfatase 1 [Source:MarkerSymbol;Acc:MGI:2138563]	ENSMUSG00000016918
44	1	12863809	12976349	12920079	12976349	12863809	-1	solute carrier organic anion transporter family, member 5A1 [Source:MarkerSymbol;Acc:MGI:2443431]	ENSMUSG00000025938
1367	1	13047207	13047562	13047385	13047207	13047562	1		ENSMUSG00000062226
45	1	13099474	13110902	13105188	13110902	13099474	-1	PR domain containing 14 [Source:MarkerSymbol;Acc:MGI:3588194]	ENSMUSG00000042414
46	1	13127689	13359278	13243483	13359278	13127689	-1	nuclear receptor coactivator 2 [Source:MarkerSymbol;Acc:MGI:1276533]	ENSMUSG00000005886
1368	1	13392384	13392868	13392626	13392868	13392384	-1		ENSMUSG00000051420
47	1	13549916	13575078	13562497	13575078	13549916	-1	translocating chain-associating membrane protein 1 [Source:MarkerSymbol;Acc:MGI:1919515]	ENSMUSG00000025935
48	1	13611130	13645749	13628440	13645749	13611130	-1	lactamase, beta 2 [Source:MarkerSymbol;Acc:MGI:2442551]	ENSMUSG00000025937
49	1	13653985	13686937	13670461	13653985	13686937	1	X Kell blood group precursor related family member 9 homolog [Source:MarkerSymbol;Acc:MGI:2686466]	ENSMUSG00000067813
1512	1	13759548	13759674	13759611	13759674	13759548	-1	Small nucleolar RNA SNORA17 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077368
50	1	13771097	13772105	13771601	13772105	13771097	-1		ENSMUSG00000068283
51	1	14154172	14295413	14224792	14295413	14154172	-1	eyes absent 1 homolog (Drosophila) [Source:MarkerSymbol;Acc:MGI:109344]	ENSMUSG00000025932
52	1	14738560	14741180	14739870	14741180	14738560	-1	musculin [Source:MarkerSymbol;Acc:MGI:1333884]	ENSMUSG00000025930
53	1	14740668	14743587	14742128	14740668	14743587	1	predicted gene, ENSMUSG00000054493 [Source:MarkerSymbol;Acc:MGI:3642739]	ENSMUSG00000054493
54	1	14825083	14825370	14825227	14825370	14825083	-1	SMT3 suppressor of mif two 3 homolog 2 (yeast) [Source:MarkerSymbol;Acc:MGI:2158813]	ENSMUSG00000067809
55	1	14850212	14851232	14850722	14850212	14851232	1	ribosomal protein L5 (Rpl5), mRNA [Source:RefSeq_dna;Acc:NM_016980]	ENSMUSG00000059478
56	1	14857862	14904076	14880969	14904076	14857862	-1	transient receptor potential cation channel, subfamily A, member 1 [Source:MarkerSymbol;Acc:MGI:3522699]	ENSMUSG00000032769
1548	1	15057646	15057716	15057681	15057646	15057716	1		ENSMUSG00000076374
57	1	15254013	15254447	15254230	15254447	15254013	-1		ENSMUSG00000073737
58	1	15696229	15699511	15697870	15696229	15699511	1	potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MarkerSymbol;Acc:MGI:99632]	ENSMUSG00000072447
1518	1	15743046	15743177	15743112	15743046	15743177	1	Small nucleolar RNA SNORA17 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077377
59	1	15790872	15828645	15809758	15790872	15828645	1	telomeric repeat binding factor 1 [Source:MarkerSymbol;Acc:MGI:109634]	ENSMUSG00000025925
60	1	15839076	15877936	15858506	15877936	15839076	-1	gene model 106, (NCBI) [Source:MarkerSymbol;Acc:MGI:2684952]	ENSMUSG00000032719
1369	1	16038549	16039102	16038825	16038549	16039102	1		ENSMUSG00000073736
61	1	16051191	16078539	16064865	16078539	16051191	-1	RIKEN cDNA 4930444P10 gene [Source:MarkerSymbol;Acc:MGI:1923049]	ENSMUSG00000067795
62	1	16086512	16089621	16088066	16089621	16086512	-1	ribosomal protein L7 [Source:MarkerSymbol;Acc:MGI:98073]	ENSMUSG00000043716
63	1	16091096	16117764	16104430	16091096	16117764	1	retinol dehydrogenase 10 (all-trans) [Source:MarkerSymbol;Acc:MGI:1924238]	ENSMUSG00000025921
64	1	16214024	16504455	16359240	16504455	16214024	-1	staufen (RNA binding protein) homolog 2 (Drosophila) [Source:MarkerSymbol;Acc:MGI:1352508]	ENSMUSG00000025920
65	1	16529148	16588929	16559038	16588929	16529148	-1	ubiquitin-conjugating enzyme E2W (putative) [Source:MarkerSymbol;Acc:MGI:1914049]	ENSMUSG00000025939
66	1	16628502	16631044	16629773	16631044	16628502	-1	transcription elongation factor B (SIII), polypeptide 1 [Source:MarkerSymbol;Acc:MGI:1915173]	ENSMUSG00000042730
1370	1	16648250	16648876	16648563	16648876	16648250	-1		ENSMUSG00000044232
67	1	16650421	16663489	16656955	16650421	16663489	1	transmembrane protein 70 (Tmem70), transcript variant 1, mRNA [Source:RefSeq_dna;Acc:NM_027415]	ENSMUSG00000025940
68	1	16673647	16694819	16684233	16673647	16694819	1	lymphocyte antigen 96 [Source:MarkerSymbol;Acc:MGI:1341909]	ENSMUSG00000025779
69	1	16753484	16755352	16754418	16755352	16753484	-1		ENSMUSG00000059678
1371	1	16981883	16982187	16982035	16982187	16981883	-1		ENSMUSG00000054314
70	1	16982678	17083012	17032845	17083012	16982678	-1	junctophilin 1 [Source:MarkerSymbol;Acc:MGI:1891495]	ENSMUSG00000042686
71	1	17130611	17149485	17140048	17130611	17149485	1	ganglioside-induced differentiation-associated-protein 1 [Source:MarkerSymbol;Acc:MGI:1338002]	ENSMUSG00000025777
72	1	17414254	17414742	17414498	17414742	17414254	-1		ENSMUSG00000056963
73	1	17587118	17613034	17600076	17587118	17613034	1	peptidase inhibitor 15 [Source:MarkerSymbol;Acc:MGI:1934659]	ENSMUSG00000067780
74	1	17712302	17749910	17731106	17712302	17749910	1	cysteine-rich secretory protein LCCL domain containing 1 [Source:MarkerSymbol;Acc:MGI:1934666]	ENSMUSG00000025776
75	1	18100405	18131110	18115757	18131110	18100405	-1	cysteine-rich secretory protein 4 [Source:MarkerSymbol;Acc:MGI:1925331]	ENSMUSG00000025774
76	1	18195267	18208778	18202023	18208778	18195267	-1	predicted gene, EG574082 [Source:MarkerSymbol;Acc:MGI:3646526]	ENSMUSG00000070977
77	1	18221687	18222657	18222172	18222657	18221687	-1	predicted gene, EG654460 [Source:MarkerSymbol;Acc:MGI:3648148]	ENSMUSG00000073735
78	1	18236194	18250352	18243273	18250352	18236194	-1	defensin beta 41 [Source:MarkerSymbol;Acc:MGI:1924923]	ENSMUSG00000067773
79	1	19088234	19151562	19119898	19088234	19151562	1	transcription factor AP-2, delta [Source:MarkerSymbol;Acc:MGI:2153466]	ENSMUSG00000042596
1372	1	19138524	19139180	19138852	19139180	19138524	-1	similar to High mobility group protein 1 (HMG-1) (High mobility group protein B1) (Amphoterin) (Heparin-binding protein p30) (LOC669271), mRNA [Source:RefSeq_dna;Acc:XR_002460]	ENSMUSG00000060128
80	1	19194128	19223948	19209038	19194128	19223948	1	transcription factor AP-2 beta [Source:MarkerSymbol;Acc:MGI:104672]	ENSMUSG00000025927
81	1	19222852	19305924	19264388	19305924	19222852	-1		ENSMUSG00000060361
82	1	19317508	19318403	19317956	19317508	19318403	1		ENSMUSG00000045614
83	1	19608286	19608426	19608356	19608286	19608426	1	Notch gene homolog 4 (Drosophila) [Source:MarkerSymbol;Acc:MGI:107471]	ENSMUSG00000067766
84	1	20042930	20603208	20323069	20603208	20042930	-1	polycystic kidney and hepatic disease 1 [Source:MarkerSymbol;Acc:MGI:2155808]	ENSMUSG00000043760
1618	1	20429962	20430063	20430012	20430063	20429962	-1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000070175
1571	1	20664161	20664233	20664197	20664161	20664233	1	mmu-mir-206 [Source:miRBase;Acc:MI0000249]	ENSMUSG00000065559
1455	1	20667920	20668038	20667979	20667920	20668038	1	mmu-mir-133b [Source:miRBase;Acc:MI0000821]	ENSMUSG00000065480
85	1	20716056	20719647	20717852	20716056	20719647	1	interleukin 17A [Source:MarkerSymbol;Acc:MGI:107364]	ENSMUSG00000025929
86	1	20762302	20769421	20765862	20769421	20762302	-1	interleukin 17F [Source:MarkerSymbol;Acc:MGI:2676631]	ENSMUSG00000041872
87	1	20788124	20805411	20796768	20805411	20788124	-1	minichromosome maintenance deficient 3 (S. cerevisiae) [Source:MarkerSymbol;Acc:MGI:101845]	ENSMUSG00000041859
1497	1	20900561	20900691	20900626	20900691	20900561	-1	Small nucleolar RNA SNORA17 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077314
88	1	20902997	20924208	20913603	20902997	20924208	1	progestin and adipoQ receptor family member VIII [Source:MarkerSymbol;Acc:MGI:1921479]	ENSMUSG00000025931
89	1	20936839	20975990	20956415	20936839	20975990	1	EF-hand domain (C-terminal) containing 1 [Source:MarkerSymbol;Acc:MGI:1919127]	ENSMUSG00000041809
90	1	20986548	21064376	21025462	21064376	20986548	-1	translocating chain-associating membrane protein 2 [Source:MarkerSymbol;Acc:MGI:1924817]	ENSMUSG00000041779
91	1	21203780	21215316	21209548	21203780	21215316	1	transmembrane protein 14A [Source:MarkerSymbol;Acc:MGI:1922962]	ENSMUSG00000025933
92	1	21225764	21250361	21238062	21225764	21250361	1	glutathione S-transferase, alpha 3 [Source:MarkerSymbol;Acc:MGI:95856]	ENSMUSG00000025934
1373	1	21257554	21258060	21257807	21257554	21258060	1		ENSMUSG00000046847
93	1	21270397	21283463	21276930	21283463	21270397	-1	predicted gene, EG241041 [Source:MarkerSymbol;Acc:MGI:3647976]	ENSMUSG00000025936
94	1	21335065	21337350	21336207	21335065	21337350	1	cDNA sequence BC099381 [Source:MarkerSymbol;Acc:MGI:3583007]	ENSMUSG00000067750
95	1	21353482	21354894	21354188	21353482	21354894	1	cDNA sequence BC099381 [Source:MarkerSymbol;Acc:MGI:3583007]	ENSMUSG00000041722
96	1	21369088	21370121	21369604	21369088	21370121	1		ENSMUSG00000073732
97	1	21387314	21946732	21667023	21946732	21387314	-1	potassium voltage-gated channel, subfamily Q, member 5 [Source:MarkerSymbol;Acc:MGI:1924937]	ENSMUSG00000028033
1374	1	22015195	22015766	22015481	22015766	22015195	-1	similar to coated vesicle membrane protein (LOC435612), mRNA [Source:RefSeq_dna;Acc:XR_003636]	ENSMUSG00000049718
98	1	22271402	22759999	22515700	22759999	22271402	-1	regulating synaptic membrane exocytosis 1 [Source:MarkerSymbol;Acc:MGI:2152971]	ENSMUSG00000041670
99	1	23056045	23056506	23056275	23056506	23056045	-1	RIKEN cDNA 4933415F23 gene [Source:MarkerSymbol;Acc:MGI:1914005]	ENSMUSG00000073730
100	1	23210262	23210681	23210472	23210681	23210262	-1	predicted gene, EG623356 [Source:MarkerSymbol;Acc:MGI:3644588]	ENSMUSG00000073729
1596	1	23226544	23226614	23226579	23226544	23226614	1	mmu-mir-30a [Source:miRBase;Acc:MI0000144]	ENSMUSG00000065405
1622	1	23245976	23246059	23246018	23245976	23246059	1	mmu-mir-30c-2 [Source:miRBase;Acc:MI0000548]	ENSMUSG00000065567
101	1	23324066	23333333	23328700	23333333	23324066	-1	opioid growth factor receptor-like 1 [Source:MarkerSymbol;Acc:MGI:1917405]	ENSMUSG00000026158
102	1	23716293	23802868	23759581	23716293	23802868	1	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MarkerSymbol;Acc:MGI:2389490]	ENSMUSG00000026156
103	1	23799900	23876564	23838232	23876564	23799900	-1	stromal membrane-associated protein 1 [Source:MarkerSymbol;Acc:MGI:2138261]	ENSMUSG00000026155
104	1	23950221	23959915	23955068	23959915	23950221	-1	RIKEN cDNA 1110058L19 gene [Source:MarkerSymbol;Acc:MGI:1915252]	ENSMUSG00000026154
105	1	23959780	23960169	23959974	23959780	23960169	1	predicted gene, ENSMUSG00000053484 [Source:MarkerSymbol;Acc:MGI:3641744]	ENSMUSG00000053484
106	1	23965370	24040849	24003110	24040849	23965370	-1	RIKEN cDNA 4921533L14 gene [Source:MarkerSymbol;Acc:MGI:1915437]	ENSMUSG00000026153
107	1	24131975	24206948	24169461	24131975	24206948	1	procollagen, type IX, alpha 1 [Source:MarkerSymbol;Acc:MGI:88465]	ENSMUSG00000026147
108	1	24218269	24541686	24379977	24541686	24218269	-1	procollagen, type XIX, alpha 1 [Source:MarkerSymbol;Acc:MGI:1095415]	ENSMUSG00000026141
1536	1	24503116	24503252	24503184	24503252	24503116	-1	Small nucleolar RNA SNORA64/SNORA10 family [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077463
109	1	24566679	24566975	24566827	24566975	24566679	-1		ENSMUSG00000067736
110	1	24633032	24707573	24670302	24633032	24707573	1	LMBR1 domain containing 1 [Source:MarkerSymbol;Acc:MGI:1915671]	ENSMUSG00000073725
111	1	24707888	24710844	24709366	24707888	24710844	1	LMBR1 domain containing 1 [Source:MarkerSymbol;Acc:MGI:1915671]	ENSMUSG00000026139
112	1	24956487	24957305	24956896	24956487	24957305	1		ENSMUSG00000070451
113	1	25012714	25771306	25392010	25771306	25012714	-1	brain-specific angiogenesis inhibitor 3 [Source:MarkerSymbol;Acc:MGI:2441837]	ENSMUSG00000033569
1507	1	25223991	25224097	25224044	25224097	25223991	-1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064910
114	1	25775203	25776424	25775813	25775203	25776424	1	predicted gene, ENSMUSG00000052558 [Source:MarkerSymbol;Acc:MGI:3642830]	ENSMUSG00000052558
115	1	26626360	26632006	26629183	26632006	26626360	-1	RIKEN cDNA 4931408C20 gene [Source:MarkerSymbol;Acc:MGI:3588222]	ENSMUSG00000073722
1469	1	26903649	26903767	26903708	26903767	26903649	-1	5S ribosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065125
116	1	27934552	27936036	27935294	27934552	27936036	1		ENSMUSG00000067727
117	1	28525044	28525319	28525182	28525319	28525044	-1	predicted gene, EG665903 (EG665903), misc RNA [Source:RefSeq_dna;Acc:XR_001800]	ENSMUSG00000054264
118	1	28720668	28724798	28722733	28724798	28720668	-1	gene model 597, (NCBI) (Gm597), mRNA [Source:RefSeq_dna;Acc:NM_001013750]	ENSMUSG00000048411
119	1	28744970	28747267	28746118	28747267	28744970	-1		ENSMUSG00000055080
120	1	28882581	28882886	28882733	28882581	28882886	1		ENSMUSG00000058590
1616	1	29225512	29225621	29225566	29225621	29225512	-1	Y RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064433
1494	1	29930480	29930589	29930534	29930480	29930589	1		ENSMUSG00000077073
121	1	30663100	30664507	30663804	30664507	30663100	-1	predicted gene, ENSMUSG00000053185 [Source:MarkerSymbol;Acc:MGI:3642391]	ENSMUSG00000053185
122	1	30714446	30716353	30715400	30714446	30716353	1		ENSMUSG00000001061
123	1	30748348	30818240	30783294	30818240	30748348	-1	PHD finger protein 3 [Source:MarkerSymbol;Acc:MGI:2446126]	ENSMUSG00000048874
124	1	30886138	30894291	30890214	30894291	30886138	-1	protein tyrosine phosphatase 4a1 [Source:MarkerSymbol;Acc:MGI:1277096]	ENSMUSG00000026064
125	1	30921789	30943454	30932621	30943454	30921789	-1		ENSMUSG00000073720
126	1	31120981	31149273	31135127	31120981	31149273	1	glutamate-ammonia ligase (glutamine synthetase) domain containing 1 [Source:MarkerSymbol;Acc:MGI:2672844]	ENSMUSG00000050217
127	1	31147697	31167202	31157449	31167202	31147697	-1	RIKEN cDNA 4931428L18 gene [Source:MarkerSymbol;Acc:MGI:1918238]	ENSMUSG00000026060
128	1	31167385	31168833	31168109	31167385	31168833	1	RIKEN cDNA 4930521A18 gene [Source:MarkerSymbol;Acc:MGI:1921958]	ENSMUSG00000026063
1589	1	31204139	31204265	31204202	31204265	31204139	-1	Small nucleolar RNA SNORA17 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077664
129	1	31219439	31232252	31225845	31219439	31232252	1		ENSMUSG00000067721
130	1	31560057	31560882	31560469	31560057	31560882	1		ENSMUSG00000070960
131	1	31680602	31681438	31681020	31680602	31681438	1		ENSMUSG00000070958
132	1	32117273	32602829	32360051	32117273	32602829	1	KH domain containing, RNA binding, signal transduction associated 2 [Source:MarkerSymbol;Acc:MGI:2159649]	ENSMUSG00000026058
1580	1	32157679	32157785	32157732	32157785	32157679	-1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064688
133	1	32464109	32465545	32464827	32465545	32464109	-1	predicted gene, ENSMUSG00000049830 [Source:MarkerSymbol;Acc:MGI:3641910]	ENSMUSG00000049830
134	1	32489937	32490680	32490309	32490680	32489937	-1	predicted gene, EG408191 [Source:MarkerSymbol;Acc:MGI:3644687]	ENSMUSG00000067716
1599	1	33238222	33238330	33238276	33238222	33238330	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065223
1447	1	33367279	33367384	33367331	33367279	33367384	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065260
135	1	33398361	33614326	33506343	33614326	33398361	-1	DNA primase, p58 subunit [Source:MarkerSymbol;Acc:MGI:97758]	ENSMUSG00000026134
136	1	33614370	33615252	33614811	33614370	33615252	1	RIKEN cDNA 1700001G17 gene [Source:MarkerSymbol;Acc:MGI:1914753]	ENSMUSG00000044744
137	1	33664442	33686043	33675242	33664442	33686043	1	RAB23, member RAS oncogene family [Source:MarkerSymbol;Acc:MGI:99833]	ENSMUSG00000004768
138	1	33690030	33702317	33696174	33702317	33690030	-1	Bcl2-associated athanogene 2 [Source:MarkerSymbol;Acc:MGI:1891254]	ENSMUSG00000042215
139	1	33706299	33758973	33732636	33758973	33706299	-1	zinc finger protein 451 [Source:MarkerSymbol;Acc:MGI:2137896]	ENSMUSG00000042197
140	1	33780668	33783226	33781947	33783226	33780668	-1		ENSMUSG00000042188
141	1	33797334	33852167	33824750	33852167	33797334	-1	RIKEN cDNA B230209C24 gene [Source:MarkerSymbol;Acc:MGI:2444572]	ENSMUSG00000042182
142	1	33852818	34253198	34053008	33852818	34253198	1	dystonin [Source:MarkerSymbol;Acc:MGI:104627]	ENSMUSG00000026131
143	1	34312298	34313552	34312925	34312298	34313552	1		ENSMUSG00000061352
144	1	34381222	34384218	34382720	34384218	34381222	-1	coiled-coil domain containing 115 [Source:MarkerSymbol;Acc:MGI:1916918]	ENSMUSG00000042111
145	1	34384587	34389016	34386801	34384587	34389016	1	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:MarkerSymbol;Acc:MGI:106572]	ENSMUSG00000026127
